Año,Trimestre,Provincia,Accesos por cada 100 hogares,Banda ancha fija,Dial up,Total,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS
2020,2,Santa Fe,70.0,777795,137,777932,5680,2061,213054,198772,96575,57236,189473,20193
2020,2,Santiago Del Estero,43.47,105446,1,105447,1330,1779,32557,57709,5178,2470,3328,4516
2020,2,Tierra Del Fuego,76.37,38900,289,39189,110,0,22325,5186,3034,3910,796,7446
2020,2,Tucumán,51.78,217134,22,217156,520,970,49028,54537,34184,2246,74377,2635
2020,1,Buenos Aires,64.33,3702985,5066,3708051,38215,36802,1122034,236421,247977,20578,1802583,28935
2020,1,Capital Federal,105.98,1352104,1390,1353494,2640,3120,169651,102254,89665,85899,906009,0
2020,1,Catamarca,37.62,39634,1,39635,630,0,8838,7543,9558,4080,10299,2151
2020,1,Chaco,37.48,120274,3,120277,3080,9280,23291,19976,29851,10416,28539,6917
2020,1,Chubut,51.27,95938,800,96738,1580,1090,69586,12957,7756,124,614,45
2020,1,Córdoba,70.69,811044,55,811099,1420,5128,217229,120188,95827,65733,296875,9802
2020,1,Corrientes,38.73,113967,3,113970,720,5270,33479,21382,26679,7351,19467,478
2020,1,Entre Ríos,56.12,231833,13,231846,1300,4081,72280,47132,41125,11988,39794,13762
2020,1,Formosa,30.23,46434,0,46434,1127,3420,23761,65,6564,9640,6918,1000
2020,1,Jujuy,46.67,91665,0,91665,550,1820,33120,9979,26693,1660,7349,16545
2020,1,La Pampa,75.77,89110,116,89226,2930,8110,72740,7199,3029,1342,2113,1618
2020,1,La Rioja,46.35,48337,3,48340,210,10,37209,5158,464,220,1294,0
2020,1,Mendoza,33.14,182837,615,183452,580,400,140410,12285,17489,286,3818,0
2020,1,Misiones,39.02,133552,0,133552,710,5240,36622,21271,26433,11581,26313,10885
2020,1,Neuquén,61.85,121354,373,121727,2180,3270,60152,5257,7123,5399,43738,0
2020,1,Río Negro,55.12,125699,501,126200,1140,4660,69154,293,7857,3199,25488,17719
2020,1,Salta,49.6,170379,2,170381,1290,5140,38537,63714,17991,8625,34744,6441
2020,1,San Juan,32.39,63975,256,64231,480,1940,59787,1594,1292,400,127,4779
2020,1,San Luis,76.31,110404,148,110552,1050,0,11322,4164,5250,58258,5,36075
2020,1,Santa Cruz,35.97,38625,197,38822,670,110,27447,4993,5169,5290,119,0
2020,1,Santa Fe,69.52,770981,137,771118,6960,2994,217553,196826,10456,48448,173823,17656
2020,1,Santiago Del Estero,42.47,102754,1,102755,1330,1779,33086,56884,3737,1350,2799,4501
2020,1,Tierra Del Fuego,76.07,38505,289,38794,110,10,22976,5024,1834,1960,518,7046
2020,1,Tucumán,47.85,200045,22,200067,520,970,49555,50383,31096,173,67536,0
2019,4,Buenos Aires,64.25,3681120,5134,3686254,33489,27537,1177446,262297,247106,45257,1465133,20676
2019,4,Capital Federal,106.25,1356695,1410,1358105,3070,150,177098,110218,110852,20581,753805,0
2019,4,Catamarca,36.44,38310,1,38311,630,0,9945,7619,9305,8040,7477,3098
2019,4,Chaco,36.84,117900,3,117903,830,0,25899,18959,30902,13516,21556,6988
2019,4,Chubut,51.15,95292,810,96102,1580,40,69405,12945,7615,124,614,4121
